id,Name,Age,Gender,Location,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
0,Safia Daoudi,18,Prefer not to say,Médéa,12th,5.1,8.5,85,10,1.4,8,2,1,1,0.5,122,15,3.2,1.0,0.2,Education,8,8.7,10.0
1,Soufiane Merabet,18,Female,Ouled Naïl,8th,6.2,8.2,86,4,0.5,1,5,5,0,1.1,141,5,4.6,2.4,0.0,Education,1,6.6,10.0
2,Yacine Bahri,16,Female,Chabet el Ameur,8th,4.1,6.0,80,6,1.3,9,2,9,1,1.0,149,14,1.8,1.9,1.2,Browsing,1,5.8,10.0
3,Hayat Bachiri,18,Male,Aïn Arnat,11th,4.3,8.0,74,9,1.4,8,3,4,0,1.3,22,16,2.6,2.4,1.9,Browsing,1,5.1,8.9
4,Fatima Lounes,17,Female,Chellata,11th,4.9,7.4,91,6,0.9,4,1,6,1,1.0,112,18,3.3,1.6,1.3,Social Media,3,9.0,10.0
5,Lounes Slimani,19,Prefer not to say,El Biar,8th,2.9,8.7,77,7,1.1,3,8,7,1,0.7,91,5,1.0,1.4,0.2,Social Media,8,5.9,3.8
6,Sonia Kaci,18,Male,Reghaïa,11th,1.3,5.4,65,5,2.6,2,10,3,1,0.7,55,12,1.4,1.9,1.3,Gaming,7,3.5,5.4
7,Nihel Bouterfa,14,Female,Medjana,11th,4.5,5.9,64,2,1.2,4,10,2,1,1.3,56,13,3.0,0.7,0.2,Social Media,4,4.3,9.0
8,Majda Aissaoui,17,Prefer not to say,Aïn Tesra,9th,7.5,3.8,62,6,0.9,6,3,3,1,0.3,45,19,1.9,0.4,0.4,Browsing,8,4.9,10.0
9,Racha Touati,16,Prefer not to say,Djelfa,7th,5.5,5.6,79,10,2.4,8,8,2,1,0.8,45,12,2.1,2.3,0.0,Education,2,6.4,10.0
10,Soha Ziani,19,Prefer not to say,Touggourt,12th,5.8,6.9,74,3,0.0,10,8,9,0,1.4,106,6,2.5,0.0,0.5,Social Media,4,1.7,8.2
11,Camila Si Ali,14,Male,Husseïn Dey,7th,4.9,5.9,59,4,0.5,4,1,6,0,0.7,140,14,2.3,0.2,0.9,Education,5,8.3,10.0
12,Jaouad Debbah,16,Prefer not to say,Birine,10th,4.9,5.0,70,4,0.1,3,4,3,0,1.2,80,18,3.6,0.3,1.1,Other,10,5.7,10.0
13,Shaima Meliani,19,Prefer not to say,Hammam Soukhna,9th,5.2,8.7,51,1,1.5,3,10,8,1,0.9,81,18,2.6,0.1,0.3,Browsing,3,5.7,8.8
14,Walid Chikh,18,Prefer not to say,Messaad,11th,5.0,5.5,71,6,0.4,7,3,10,1,1.0,92,14,1.5,0.6,1.5,Browsing,7,9.0,9.0
15,Lotfi Ben Amor,13,Female,Aïn Abessa,11th,5.4,4.3,93,2,1.2,8,10,4,1,1.0,38,20,3.5,3.4,0.9,Browsing,8,3.3,10.0
16,Issra Ferhat,17,Prefer not to say,Rouiba,12th,4.2,5.6,88,10,0.5,9,6,2,0,1.1,58,19,3.3,0.4,0.2,Gaming,5,7.1,10.0
17,Mansour Toumi,16,Female,Haraza,7th,6.1,7.5,88,9,1.6,9,8,3,0,0.0,66,20,3.5,1.6,1.7,Browsing,10,7.6,10.0
